percent,dims,time_std,time_sparse
0.0,10,0.540000,0.680000
0.0,20,1.930000,1.965000
0.0,30,4.670000,4.395000
0.0,40,7.845000,8.415000
0.0,50,13.025000,13.715000
0.0,60,18.770000,19.435000
0.0,70,26.140000,25.455000
0.0,80,43.780000,32.995000
0.0,90,54.475000,41.105000
0.0,100,63.540000,53.720000
10.0,10,0.490000,0.570000
10.0,20,1.925000,2.770000
10.0,30,4.530000,4.205000
10.0,40,9.270000,10.355000
10.0,50,13.155000,13.520000
10.0,60,20.775000,21.985000
10.0,70,25.520000,23.965000
10.0,80,41.740000,42.870000
10.0,90,44.865000,46.720000
10.0,100,59.820000,67.590000
20.0,10,0.520000,0.555000
20.0,20,2.410000,1.590000
20.0,30,4.495000,4.425000
20.0,40,9.020000,8.735000
20.0,50,14.710000,17.405000
20.0,60,19.180000,20.925000
20.0,70,30.200000,41.895000
20.0,80,48.695000,32.330000
20.0,90,52.665000,45.545000
20.0,100,59.935000,75.355000
30.0,10,1.395000,0.505000
30.0,20,1.995000,3.900000
30.0,30,5.120000,7.840000
30.0,40,9.860000,8.090000
30.0,50,13.905000,17.540000
30.0,60,18.485000,19.570000
30.0,70,28.515000,30.840000
30.0,80,42.165000,43.500000
30.0,90,63.870000,52.565000
30.0,100,60.130000,75.705000
40.0,10,0.540000,0.390000
40.0,20,2.265000,1.390000
40.0,30,5.255000,3.445000
40.0,40,11.660000,9.990000
40.0,50,15.500000,15.305000
40.0,60,20.810000,21.020000
40.0,70,25.375000,29.995000
40.0,80,38.140000,42.435000
40.0,90,45.375000,58.880000
40.0,100,60.610000,67.600000
50.0,10,0.735000,0.485000
50.0,20,1.910000,1.025000
50.0,30,5.000000,2.995000
50.0,40,9.065000,8.535000
50.0,50,13.390000,14.215000
50.0,60,18.625000,20.720000
50.0,70,32.425000,30.670000
50.0,80,36.310000,34.050000
50.0,90,49.835000,44.735000
50.0,100,71.195000,57.345000
60.0,10,0.555000,0.305000
60.0,20,1.890000,0.720000
60.0,30,4.285000,3.345000
60.0,40,8.750000,6.150000
60.0,50,12.705000,9.890000
60.0,60,18.055000,18.755000
60.0,70,26.355000,34.140000
60.0,80,68.680000,30.405000
60.0,90,47.945000,43.810000
60.0,100,61.150000,46.765000
70.0,10,0.570000,0.210000
70.0,20,2.330000,0.725000
70.0,30,4.515000,2.190000
70.0,40,9.385000,4.205000
70.0,50,15.065000,5.300000
70.0,60,20.345000,10.605000
70.0,70,25.860000,13.385000
70.0,80,38.550000,26.040000
70.0,90,48.185000,21.845000
70.0,100,55.750000,28.530000
80.0,10,0.645000,0.155000
80.0,20,2.040000,0.365000
80.0,30,4.420000,1.390000
80.0,40,8.615000,2.910000
80.0,50,13.040000,4.070000
80.0,60,17.795000,6.475000
80.0,70,27.265000,8.865000
80.0,80,34.485000,9.290000
80.0,90,47.900000,12.800000
80.0,100,66.670000,17.960000
90.0,10,0.540000,0.095000
90.0,20,2.010000,0.215000
90.0,30,4.840000,0.590000
90.0,40,9.750000,1.120000
90.0,50,18.575000,2.045000
90.0,60,21.005000,2.620000
90.0,70,37.535000,8.025000
90.0,80,38.975000,6.675000
90.0,90,47.380000,9.245000
90.0,100,55.320000,6.815000
100.0,10,0.470000,0.075000
100.0,20,2.065000,0.115000
100.0,30,5.370000,0.195000
100.0,40,9.750000,0.945000
100.0,50,12.605000,2.400000
100.0,60,21.600000,0.550000
100.0,70,26.450000,1.405000
100.0,80,35.395000,0.795000
100.0,90,47.450000,0.770000
100.0,100,57.895000,5.925000
