i,data_type,op_type,time
1,list,push,0.66
2,list,push,0.86
3,list,push,0.59
4,list,push,0.84
5,list,push,0.60
6,list,push,0.61
7,list,push,0.74
8,list,push,0.78
9,list,push,0.66
10,list,push,0.71
11,array,push_low,0.20
12,array,push_high,0.24
13,array,push_low,0.21
14,array,push_high,0.24
15,array,push_low,0.24
16,array,push_high,0.28
17,array,push_low,0.28
18,array,push_high,0.24
19,array,push_low,0.20
20,array,push_high,0.34
21,array,push_low,0.24
22,array,push_high,0.23
23,array,push_low,0.23
24,array,push_high,0.24
25,array,push_low,0.24
26,array,push_high,0.25
27,array,push_low,0.35
28,array,push_high,0.26
29,array,push_low,0.25
30,array,push_high,0.26
